sexo_label,poblacion_estimada_12_mas,personas_estimadas_que_realizan_cuidado,porcentaje_que_realiza_cuidado,horas_promedio_semanales_cuidado_todos,horas_promedio_semanales_cuidado_entre_cuidadores,personas_estimadas_que_trabajan_para_el_mercado,porcentaje_que_trabaja_para_el_mercado,personas_estimadas_cuidado_y_trabajo_mercado,porcentaje_cuidado_y_trabajo_mercado,horas_promedio_semanales_trabajo_mercado_entre_quienes_trabajan,personas_estimadas_cuidado_especial,porcentaje_cuidado_especial
Hombre,3841926.0,2304395.0,59.98,4.87,8.12,2714719.0,70.66,1682589.0,43.8,47.98,231876.0,6.04
Mujer,4508093.0,2802155.0,62.16,7.56,12.16,2431451.0,53.94,1608975.0,35.69,40.48,323671.0,7.18
